filename,width,height,class,xmin,ymin,xmax,ymax
flying termite_17.jpg,400,400,flying termite,252,52,308,185
flying termite_17.jpg,400,400,flying termite,297,196,374,309
flying termite_17.jpg,400,400,flying termite,91,255,211,374
flying termite_17.jpg,400,400,flying termite,10,197,82,310
flying termite_17.jpg,400,400,flying termite,203,144,247,274
flying termite_17.jpg,400,400,flying termite,133,162,211,270
flying termite_17.jpg,400,400,flying termite,2,104,106,186
flying termite_17.jpg,400,400,flying termite,220,329,351,372
flying termite_19.jpg,800,550,flying termite,10,145,732,424
flying termite_2.jpg,800,500,flying termite,385,40,637,491
flying termite_21.jpg,425,340,flying termite,54,39,344,277
flying termite_23.jpg,480,360,flying termite,310,169,354,217
flying termite_23.jpg,480,360,flying termite,369,211,393,257
flying termite_23.jpg,480,360,flying termite,359,312,389,349
flying termite_23.jpg,480,360,flying termite,304,226,324,253
flying termite_23.jpg,480,360,flying termite,324,241,341,266
flying termite_23.jpg,480,360,flying termite,419,140,447,165
flying termite_23.jpg,480,360,flying termite,379,17,411,50
flying termite_23.jpg,480,360,flying termite,417,18,444,39
flying termite_23.jpg,480,360,flying termite,259,14,288,44
flying termite_23.jpg,480,360,flying termite,237,35,257,74
flying termite_23.jpg,480,360,flying termite,259,122,297,145
flying termite_23.jpg,480,360,flying termite,210,149,228,192
flying termite_23.jpg,480,360,flying termite,235,172,259,203
flying termite_23.jpg,480,360,flying termite,263,169,280,204
flying termite_23.jpg,480,360,flying termite,145,136,164,174
flying termite_23.jpg,480,360,flying termite,119,179,137,209
flying termite_23.jpg,480,360,flying termite,126,266,165,298
flying termite_23.jpg,480,360,flying termite,31,232,60,265
flying termite_23.jpg,480,360,flying termite,89,122,118,166
flying termite_23.jpg,480,360,flying termite,187,60,210,80
flying termite_23.jpg,480,360,flying termite,291,53,317,74
flying termite_23.jpg,480,360,flying termite,150,49,172,68
flying termite_23.jpg,480,360,flying termite,55,83,91,111
flying termite_23.jpg,480,360,flying termite,12,169,43,204
flying termite_23.jpg,480,360,flying termite,384,183,406,199
flying termite_23.jpg,480,360,flying termite,393,99,417,115
flying termite_28.jpg,400,273,flying termite,107,118,143,187
flying termite_28.jpg,400,273,flying termite,225,60,329,129
flying termite_28.jpg,400,273,flying termite,209,173,297,213
flying termite_28.jpg,400,273,flying termite,296,126,351,224
flying termite_28.jpg,400,273,flying termite,31,134,75,209
flying termite_28.jpg,400,273,flying termite,2,6,61,63
flying termite_28.jpg,400,273,flying termite,69,68,162,142
flying termite_28.jpg,400,273,flying termite,22,72,93,143
flying termite_28.jpg,400,273,flying termite,81,184,115,244
flying termite_28.jpg,400,273,flying termite,152,162,208,199
flying termite_29.jpg,640,480,flying termite,31,30,604,436
flying termite_3.jpg,592,437,flying termite,5,6,589,433
flying termite_33.jpg,1300,577,flying termite,89,75,1284,545
flying termite_34.jpg,843,568,flying termite,370,44,588,210
flying termite_34.jpg,843,568,flying termite,493,241,690,380
flying termite_34.jpg,843,568,flying termite,140,88,353,236
flying termite_34.jpg,843,568,flying termite,115,273,282,409
flying termite_34.jpg,843,568,flying termite,353,387,563,508
flying termite_37.jpg,0,0,flying termite,39,27,272,170
flying termite_38.jpg,590,545,flying termite,400,92,520,533
flying termite_4.jpg,640,388,flying termite,190,74,533,344
flying termite_41.jpg,480,360,flying termite,189,158,314,255
flying termite_43.jpg,480,360,flying termite,222,183,241,204
flying termite_43.jpg,480,360,flying termite,221,155,249,177
flying termite_43.jpg,480,360,flying termite,71,26,96,47
flying termite_43.jpg,480,360,flying termite,153,72,177,92
flying termite_43.jpg,480,360,flying termite,237,58,252,75
flying termite_43.jpg,480,360,flying termite,307,65,327,83
flying termite_43.jpg,480,360,flying termite,371,102,387,121
flying termite_43.jpg,480,360,flying termite,423,121,446,141
flying termite_43.jpg,480,360,flying termite,416,256,431,277
flying termite_43.jpg,480,360,flying termite,438,253,455,274
flying termite_43.jpg,480,360,flying termite,164,264,194,287
flying termite_43.jpg,480,360,flying termite,1,216,28,247
flying termite_43.jpg,480,360,flying termite,72,163,95,186
flying termite_43.jpg,480,360,flying termite,129,153,152,179
flying termite_43.jpg,480,360,flying termite,46,92,72,120
flying termite_43.jpg,480,360,flying termite,203,119,225,138
flying termite_43.jpg,480,360,flying termite,208,108,223,116
flying termite_43.jpg,480,360,flying termite,184,90,196,102
flying termite_43.jpg,480,360,flying termite,251,102,265,116
flying termite_43.jpg,480,360,flying termite,231,79,249,93
flying termite_43.jpg,480,360,flying termite,224,57,235,65
flying termite_43.jpg,480,360,flying termite,209,96,217,108
flying termite_43.jpg,480,360,flying termite,184,158,200,171
flying termite_43.jpg,480,360,flying termite,189,142,205,153
flying termite_43.jpg,480,360,flying termite,210,140,226,152
flying termite_43.jpg,480,360,flying termite,228,125,237,137
flying termite_43.jpg,480,360,flying termite,316,100,330,114
flying termite_43.jpg,480,360,flying termite,357,71,367,81
flying termite_43.jpg,480,360,flying termite,259,163,280,184
flying termite_43.jpg,480,360,flying termite,299,233,320,256
flying termite_43.jpg,480,360,flying termite,349,198,366,216
flying termite_43.jpg,480,360,flying termite,343,161,360,179
flying termite_43.jpg,480,360,flying termite,321,163,335,176
flying termite_43.jpg,480,360,flying termite,276,110,285,123
flying termite_43.jpg,480,360,flying termite,115,90,131,102
flying termite_43.jpg,480,360,flying termite,133,60,145,73
flying termite_43.jpg,480,360,flying termite,197,208,211,218
flying termite_43.jpg,480,360,flying termite,233,236,252,249
flying termite_43.jpg,480,360,flying termite,253,260,276,274
flying termite_43.jpg,480,360,flying termite,142,330,157,348
flying termite_43.jpg,480,360,flying termite,290,177,304,194
flying termite_43.jpg,480,360,flying termite,304,186,318,207
flying termite_43.jpg,480,360,flying termite,415,192,433,204
flying termite_43.jpg,480,360,flying termite,424,180,438,193
flying termite_43.jpg,480,360,flying termite,436,166,446,181
flying termite_43.jpg,480,360,flying termite,445,157,466,173
flying termite_43.jpg,480,360,flying termite,464,214,477,228
flying termite_43.jpg,480,360,flying termite,456,191,470,205
flying termite_43.jpg,480,360,flying termite,441,287,455,302
flying termite_43.jpg,480,360,flying termite,267,147,284,160
flying termite_43.jpg,480,360,flying termite,321,139,333,150
flying termite_43.jpg,480,360,flying termite,312,126,329,141
flying termite_43.jpg,480,360,flying termite,1,270,16,295
flying termite_44.jpg,500,333,flying termite,283,286,328,311
flying termite_44.jpg,500,333,flying termite,358,271,406,308
flying termite_44.jpg,500,333,flying termite,443,263,494,296
flying termite_44.jpg,500,333,flying termite,167,252,219,276
flying termite_44.jpg,500,333,flying termite,328,86,362,115
flying termite_44.jpg,500,333,flying termite,431,106,471,128
flying termite_44.jpg,500,333,flying termite,408,174,441,210
flying termite_44.jpg,500,333,flying termite,346,181,395,216
flying termite_44.jpg,500,333,flying termite,205,194,247,229
flying termite_44.jpg,500,333,flying termite,312,239,343,265
flying termite_44.jpg,500,333,flying termite,291,242,314,289
flying termite_44.jpg,500,333,flying termite,312,265,349,299
flying termite_44.jpg,500,333,flying termite,82,216,119,255
flying termite_44.jpg,500,333,flying termite,121,221,154,275
flying termite_44.jpg,500,333,flying termite,198,122,218,179
flying termite_44.jpg,500,333,flying termite,310,57,355,71
flying termite_44.jpg,500,333,flying termite,290,27,340,44
flying termite_44.jpg,500,333,flying termite,216,35,261,64
flying termite_44.jpg,500,333,flying termite,156,41,199,58
flying termite_46.jpg,580,404,flying termite,25,68,541,336
flying termite_50.jpg,3264,2448,flying termite,684,852,2353,2354
flying termite_51.jpg,800,500,flying termite,4,72,791,425
flying termite_52.jpg,350,266,flying termite,2,6,350,263
flying termite_53.jpg,383,324,flying termite,64,4,223,291
flying termite_54.jpg,236,236,flying termite,40,54,85,235
flying termite_54.jpg,236,236,flying termite,125,128,218,208
flying termite_54.jpg,236,236,flying termite,82,19,142,173
flying termite_57.jpg,480,360,flying termite,89,197,120,236
flying termite_57.jpg,480,360,flying termite,163,148,198,171
flying termite_57.jpg,480,360,flying termite,201,147,230,170
flying termite_57.jpg,480,360,flying termite,71,93,92,138
flying termite_57.jpg,480,360,flying termite,31,147,65,176
flying termite_57.jpg,480,360,flying termite,223,223,238,273
flying termite_58.jpg,1195,1600,flying termite,236,220,656,661
flying termite_58.jpg,1195,1600,flying termite,563,593,966,998
flying termite_58.jpg,1195,1600,flying termite,334,1115,693,1600
flying termite_6.jpg,640,457,flying termite,90,114,487,334
flying termite_60.jpg,600,577,flying termite,96,41,459,455
flying termite_61.jpg,638,400,flying termite,22,1,595,394
flying termite_63.jpg,267,679,flying termite,2,4,263,679
flying termite_64.jpg,1400,1029,flying termite,8,577,721,828
flying termite_64.jpg,1400,1029,flying termite,60,14,873,416
flying termite_7.jpg,1600,1195,flying termite,620,618,1137,1032
flying termite_7.jpg,1600,1195,flying termite,1101,222,1588,710
flying termite_7.jpg,1600,1195,flying termite,25,317,463,612
flying termite_71.jpg,600,388,flying termite,181,298,230,344
flying termite_71.jpg,600,388,flying termite,126,297,144,352
flying termite_71.jpg,600,388,flying termite,102,278,133,332
flying termite_71.jpg,600,388,flying termite,275,320,302,375
flying termite_71.jpg,600,388,flying termite,261,165,291,235
flying termite_71.jpg,600,388,flying termite,483,308,527,354
flying termite_71.jpg,600,388,flying termite,358,112,379,171
flying termite_71.jpg,600,388,flying termite,297,295,318,337
flying termite_71.jpg,600,388,flying termite,305,339,348,386
flying termite_71.jpg,600,388,flying termite,232,295,296,317
flying termite_71.jpg,600,388,flying termite,250,284,312,301
flying termite_71.jpg,600,388,flying termite,234,316,282,360
flying termite_71.jpg,600,388,flying termite,242,357,275,388
flying termite_71.jpg,600,388,flying termite,195,213,217,259
flying termite_71.jpg,600,388,flying termite,217,203,264,229
flying termite_71.jpg,600,388,flying termite,238,151,261,207
flying termite_71.jpg,600,388,flying termite,145,83,210,126
flying termite_71.jpg,600,388,flying termite,132,19,180,73
flying termite_71.jpg,600,388,flying termite,428,221,462,279
flying termite_71.jpg,600,388,flying termite,424,288,450,326
flying termite_71.jpg,600,388,flying termite,452,317,471,361
flying termite_71.jpg,600,388,flying termite,459,344,483,388
flying termite_72.jpg,480,360,flying termite,103,192,177,274
flying termite_72.jpg,480,360,flying termite,313,64,382,142
flying termite_73.jpg,3264,2448,flying termite,1374,975,2222,1637
flying termite_74.jpg,1200,628,flying termite,658,101,1121,423
flying termite_76.jpg,1098,1604,flying termite,225,158,993,395
flying termite_8.jpg,367,493,flying termite,30,128,181,322
flying termite_8.jpg,367,493,flying termite,243,188,319,371
flying termite_8.jpg,367,493,flying termite,231,368,310,493
flying termite_8.jpg,367,493,flying termite,103,339,189,493
flying termite_8.jpg,367,493,flying termite,165,325,243,493
flying termite_8.jpg,367,493,flying termite,128,181,264,323
flying termite_8.jpg,367,493,flying termite,140,104,347,241
flying termite_8.jpg,367,493,flying termite,7,298,93,419
flying termite_8.jpg,367,493,flying termite,51,290,143,449
flying termite_82.jpg,278,283,flying termite,107,48,187,251
flying termite_84.jpg,560,516,flying termite,11,87,543,372
flying termite_88.jpg,640,480,flying termite,30,83,584,470
flying termite_91.jpg,600,388,flying termite,83,55,235,354
flying termite_91.jpg,600,388,flying termite,305,131,421,388
flying termite_93.jpg,500,367,flying termite,43,36,178,127
flying termite_93.jpg,500,367,flying termite,212,33,305,159
flying termite_93.jpg,500,367,flying termite,373,153,463,312
flying termite_95.jpg,900,506,flying termite,109,52,561,214
flying termite_95.jpg,900,506,flying termite,11,245,384,442
flying termite_95.jpg,900,506,flying termite,338,221,738,455
flying termite_95.jpg,900,506,flying termite,742,98,900,473
flying termite_96.jpg,800,400,flying termite,546,126,635,332
flying termite_98.jpg,500,375,flying termite,7,85,467,358
flying termite_99.jpg,1000,750,flying termite,124,216,396,467
ft10.jpg,436,582,flying termite,273,209,330,239
ft10.jpg,436,582,flying termite,255,468,311,504
ft10.jpg,436,582,flying termite,129,134,185,178
ft10.jpg,436,582,flying termite,166,95,224,168
ft101.jpg,582,436,flying termite,104,12,139,50
ft101.jpg,582,436,flying termite,168,89,205,138
ft101.jpg,582,436,flying termite,137,87,168,131
ft101.jpg,582,436,flying termite,304,148,339,177
ft101.jpg,582,436,flying termite,499,180,530,219
ft101.jpg,582,436,flying termite,482,279,512,321
ft101.jpg,582,436,flying termite,480,321,514,356
ft101.jpg,582,436,flying termite,448,335,480,369
ft101.jpg,582,436,flying termite,400,343,431,377
ft101.jpg,582,436,flying termite,308,364,350,395
ft101.jpg,582,436,flying termite,238,364,281,402
ft101.jpg,582,436,flying termite,189,200,224,235
ft101.jpg,582,436,flying termite,240,210,271,247
ft101.jpg,582,436,flying termite,130,294,167,327
ft101.jpg,582,436,flying termite,80,358,112,382
ft101.jpg,582,436,flying termite,64,224,118,261
ft101.jpg,582,436,flying termite,90,98,129,131
ft101.jpg,582,436,flying termite,197,288,236,311
ft101.jpg,582,436,flying termite,179,362,214,395
ft101.jpg,582,436,flying termite,122,353,155,379
ft104.jpg,582,436,flying termite,221,125,254,156
ft104.jpg,582,436,flying termite,329,237,356,281
ft104.jpg,582,436,flying termite,229,25,279,64
ft104.jpg,582,436,flying termite,109,62,164,97
ft104.jpg,582,436,flying termite,5,90,40,127
ft104.jpg,582,436,flying termite,38,135,74,164
ft104.jpg,582,436,flying termite,62,196,92,238
ft104.jpg,582,436,flying termite,38,188,65,233
ft104.jpg,582,436,flying termite,93,283,132,323
ft104.jpg,582,436,flying termite,168,286,208,318
ft104.jpg,582,436,flying termite,235,264,267,306
ft104.jpg,582,436,flying termite,275,237,290,286
ft104.jpg,582,436,flying termite,387,334,422,373
ft104.jpg,582,436,flying termite,501,259,522,300
ft104.jpg,582,436,flying termite,517,193,555,251
ft11.jpg,436,582,flying termite,281,136,353,204
ft11.jpg,436,582,flying termite,318,206,378,231
ft11.jpg,436,582,flying termite,72,373,133,400
ft11.jpg,436,582,flying termite,236,383,301,424
ft11.jpg,436,582,flying termite,319,382,375,439
ft11.jpg,436,582,flying termite,306,291,373,311
ft12.jpg,436,582,flying termite,287,122,366,201
ft12.jpg,436,582,flying termite,324,194,391,224
ft12.jpg,436,582,flying termite,310,279,386,329
ft12.jpg,436,582,flying termite,303,331,371,379
ft12.jpg,436,582,flying termite,327,374,388,437
ft12.jpg,436,582,flying termite,236,377,307,419
ft12.jpg,436,582,flying termite,61,354,135,396
ft13.jpg,436,582,flying termite,225,243,288,286
ft13.jpg,436,582,flying termite,326,351,378,409
ft13.jpg,436,582,flying termite,166,500,214,554
ft53.jpg,582,436,flying termite,307,116,340,146
ft53.jpg,582,436,flying termite,294,54,323,84
ft53.jpg,582,436,flying termite,480,373,506,408
ft53.jpg,582,436,flying termite,524,172,563,195
ft54.jpg,582,436,flying termite,254,109,285,144
ft54.jpg,582,436,flying termite,258,164,282,190
ft54.jpg,582,436,flying termite,271,179,310,212
ft54.jpg,582,436,flying termite,94,253,118,291
ft54.jpg,582,436,flying termite,89,340,108,374
ft54.jpg,582,436,flying termite,79,384,111,417
ft54.jpg,582,436,flying termite,106,378,141,405
ft54.jpg,582,436,flying termite,138,381,162,420
ft54.jpg,582,436,flying termite,186,386,204,421
ft54.jpg,582,436,flying termite,201,368,241,411
ft54.jpg,582,436,flying termite,323,367,343,400
ft54.jpg,582,436,flying termite,460,378,481,411
ft54.jpg,582,436,flying termite,503,324,539,351
ft54.jpg,582,436,flying termite,91,118,132,134
ft54.jpg,582,436,flying termite,412,143,445,173
ft55.jpg,582,436,flying termite,370,101,395,135
ft55.jpg,582,436,flying termite,176,139,219,176
ft55.jpg,582,436,flying termite,240,369,265,403
ft55.jpg,582,436,flying termite,92,369,130,390
ft55.jpg,582,436,flying termite,39,229,59,258
ft60.jpg,436,582,flying termite,203,507,252,534
ft60.jpg,436,582,flying termite,313,520,354,547
ft60.jpg,436,582,flying termite,342,363,385,412
ft60.jpg,436,582,flying termite,367,410,406,430
ft60.jpg,436,582,flying termite,361,458,400,494
ft60.jpg,436,582,flying termite,352,491,399,524
ft60.jpg,436,582,flying termite,364,520,403,561
ft60.jpg,436,582,flying termite,48,303,84,343
ft60.jpg,436,582,flying termite,52,490,77,531
ft60.jpg,436,582,flying termite,356,85,397,102
ft60.jpg,436,582,flying termite,345,244,385,268
ft60.jpg,436,582,flying termite,290,16,325,60
ft60.jpg,436,582,flying termite,87,127,105,165
ft60.jpg,436,582,flying termite,127,279,154,325
ft98.jpg,582,436,flying termite,381,81,431,119
ft98.jpg,582,436,flying termite,539,64,574,110
ft98.jpg,582,436,flying termite,520,221,557,257
ft98.jpg,582,436,flying termite,467,234,492,274
ft98.jpg,582,436,flying termite,477,374,508,404
ft98.jpg,582,436,flying termite,268,203,290,250
ft98.jpg,582,436,flying termite,325,116,366,155
ft98.jpg,582,436,flying termite,315,174,351,205
ft98.jpg,582,436,flying termite,380,259,408,296
ft98.jpg,582,436,flying termite,408,256,434,306
ft98.jpg,582,436,flying termite,453,135,493,158
ft98.jpg,582,436,flying termite,184,285,227,343
ft98.jpg,582,436,flying termite,185,198,215,240
ft98.jpg,582,436,flying termite,106,310,148,351
ft98.jpg,582,436,flying termite,31,338,49,372
ft98.jpg,582,436,flying termite,43,211,71,249
